Level,Houses to light,Minimum moves without repair,Minimum moves with repair,No. of shadows,Repair cost,Shadow types,Repair
1,1 of 3,4,—,1,—,Patrol,None
2,1 of 3,4,—,1,—,Patrol,None
3,2 of 3,10,10,1,150,Patrol,Clear crates
4,2 of 3,10,—,1,—,Patrol,None
5,2 of 3,10,—,1,—,Patrol,None
6,2 of 3,18,18,1,450,Patrol,Clear rubble
7,2 of 3,16,—,1,—,Patrol,None
8,2 of 3,16,—,1,—,Patrol,None
9,2 of 3,18,18,1,650,Patrol,Relight streetlamp
10,3 of 3,22,22,1,1150,Patrol,Clear central crates
11,2 of 3,18,—,1,—,Patrol,None
12,2 of 3,18,—,1,—,Patrol,None
13,2 of 3,16,16,1,1550,Patrol,Open alley gate
14,2 of 3,18,—,1,—,Patrol,None
15,2 of 3,16,—,1,—,Patrol,None
16,2 of 3,16,16,1,2000,Patrol,Repair footbridge
17,2 of 3,18,—,1,—,Patrol,None
18,2 of 3,14,—,1,—,Patrol,None
19,2 of 3,20,20,1,1575,Patrol,Clear rubble
20,3 of 3,22,20,1,3700,Patrol,Repair side bridge
21,2 of 3,18,—,1,—,Patrol,None
22,2 of 3,22,—,1,—,Patrol,None
23,2 of 3,16,16,1,3275,Patrol,Drain road
24,2 of 3,18,—,1,—,Patrol,None
25,2 of 3,20,—,1,—,Patrol,None
26,2 of 3,22,22,1,2450,Patrol,Relight lamp
27,2 of 3,24,—,1,—,Patrol,None
28,2 of 3,18,—,1,—,Patrol,None
29,2 of 3,18,18,1,6350,Patrol,Reopen tunnel
30,3 of 3,22,20,1,4875,Patrol,Drain central road
31,2 of 3,22,—,1,—,Patrol,None
32,2 of 3,24,—,1,—,Patrol,None
33,2 of 3,20,—,1,—,Patrol,None
34,2 of 3,22,22,1,5925,Patrol,Install latch
35,2 of 3,22,—,1,—,Patrol,None
36,2 of 3,16,16,1,4050,Patrol,Clear rubble
37,2 of 3,24,—,1,—,Patrol,None
38,2 of 3,24,—,1,—,Patrol,None
39,2 of 3,16,16,1,10150,Patrol,Repair side crossing
40,3 of 3,22,22,1,7675,Patrol,Install gate latch
41,2 of 3,20,—,2,—,Patrol + Echo,None
42,2 of 3,18,—,2,—,Patrol + Echo,None
43,2 of 3,24,—,2,—,Patrol + Echo,None
44,2 of 3,18,—,2,—,Patrol + Echo,None
45,2 of 3,18,18,2,9325,Patrol + Echo,Open alley
46,2 of 3,16,16,2,13300,Patrol + Echo,Clear tower passage
47,2 of 3,18,—,2,—,Patrol + Echo,None
48,2 of 3,24,—,2,—,Patrol + Echo,None
49,2 of 3,24,24,2,6725,Patrol + Echo,Relight lamp
50,3 of 3,22,20,2,11150,Patrol + Echo,Repair side bridge
51,2 of 3,20,—,2,—,Patrol + Echo,None
52,2 of 3,20,—,2,—,Patrol + Echo,None
53,2 of 3,18,18,2,16925,Patrol + Echo,Build canal bridge
54,2 of 3,24,—,2,—,Patrol + Echo,None
55,2 of 3,20,—,2,—,Patrol + Echo,None
56,2 of 3,20,20,2,8450,Patrol + Echo,Clear rubble
57,2 of 3,18,—,2,—,Patrol + Echo,None
58,2 of 3,22,—,2,—,Patrol + Echo,None
59,2 of 3,20,18,2,14800,Patrol + Echo,Open shore gate
60,3 of 3,22,20,2,20950,Patrol + Echo,Build side bridge
61,2 of 3,24,—,3,—,Patrol + Second patrol + Echo,None
62,2 of 3,18,—,3,—,Patrol + Second patrol + Echo,None
63,2 of 3,18,—,3,—,Patrol + Second patrol + Echo,None
64,2 of 3,18,18,3,17050,Patrol + Second patrol + Echo,Open gate
65,2 of 3,24,—,3,—,Patrol + Second patrol + Echo,None
66,2 of 3,22,22,3,11250,Patrol + Second patrol + Echo,Relight lamp
67,2 of 3,20,—,3,—,Patrol + Second patrol + Echo,None
68,2 of 3,16,16,3,18975,Patrol + Second patrol + Echo,Repair side arch
69,2 of 3,22,—,3,—,Patrol + Second patrol + Echo,None
70,3 of 3,22,22,3,27450,Patrol + Second patrol + Echo,Clear tower passage
71,2 of 3,20,—,3,—,Patrol + Second patrol + Echo,None
72,2 of 3,28,—,3,—,Patrol + Second patrol + Echo,None
73,2 of 3,22,20,3,21525,Patrol + Second patrol + Echo,Repair arch
74,2 of 3,22,—,3,—,Patrol + Second patrol + Echo,None
75,2 of 3,26,—,3,—,Patrol + Second patrol + Echo,None
76,2 of 3,18,18,3,23125,Patrol + Second patrol + Echo,Drain road
77,2 of 3,22,22,3,14800,Patrol + Second patrol + Echo,Relight lamp
78,2 of 3,18,—,3,—,Patrol + Second patrol + Echo,None
79,2 of 3,18,18,3,34075,Patrol + Second patrol + Echo,Reopen tunnel
80,3 of 3,22,20,3,25350,Patrol + Second patrol + Echo,Clear central rubble
81,2 of 3,24,—,3,—,Patrol + Second patrol + Echo,None
82,2 of 3,20,—,3,—,Patrol + Second patrol + Echo,None
83,2 of 3,22,—,3,—,Patrol + Second patrol + Echo,None
84,2 of 3,22,22,3,17300,Patrol + Second patrol + Echo,Relight lamp
85,2 of 3,22,—,3,—,Patrol + Second patrol + Echo,None
86,2 of 3,20,20,3,28875,Patrol + Second patrol + Echo,Repair bridge
87,2 of 3,22,—,3,—,Patrol + Second patrol + Echo,None
88,2 of 3,22,—,3,—,Patrol + Second patrol + Echo,None
89,2 of 3,20,20,3,42250,Patrol + Second patrol + Echo,Restore beacon
90,3 of 3,22,20,3,43125,Patrol + Second patrol + Echo,Open old tunnel
91,2 of 3,26,—,3,—,Patrol + Second patrol + Echo,None
92,2 of 3,22,—,3,—,Patrol + Second patrol + Echo,None
93,2 of 3,20,—,3,—,Patrol + Second patrol + Echo,None
94,2 of 3,20,20,3,33950,Patrol + Second patrol + Echo,Repair side bridge
95,2 of 3,26,—,3,—,Patrol + Second patrol + Echo,None
96,2 of 3,26,26,3,22050,Patrol + Second patrol + Echo,Relight lamp
97,2 of 3,22,—,3,—,Patrol + Second patrol + Echo,None
98,2 of 3,20,20,3,50375,Patrol + Second patrol + Echo,Reopen tunnel
99,2 of 3,26,—,3,—,Patrol + Second patrol + Echo,None
100,3 of 3,22,20,3,52275,Patrol + Second patrol + Echo,Restore final bridge
101,4 of 4,30,30,3,38725,Patrol + Second patrol + Echo,Reopen delivery passage
102,4 of 4,32,28,3,39425,Patrol + Second patrol + Echo,Reopen delivery passage
103,4 of 4,32,32,3,40150,Patrol + Second patrol + Echo,Reopen delivery passage
104,4 of 4,34,34,3,40850,Patrol + Second patrol + Echo,Reopen delivery passage
105,4 of 4,38,38,3,41575,Patrol + Second patrol + Echo,Reopen delivery passage
106,4 of 4,36,36,3,42325,Patrol + Second patrol + Echo,Reopen delivery passage
107,4 of 4,34,34,3,43050,Patrol + Second patrol + Echo,Reopen delivery passage
108,4 of 4,32,32,3,43800,Patrol + Second patrol + Echo,Reopen delivery passage
109,4 of 4,28,28,3,44550,Patrol + Second patrol + Echo,Reopen delivery passage
110,4 of 4,36,36,3,45325,Patrol + Second patrol + Echo,Reopen delivery passage
111,4 of 4,34,34,3,46075,Patrol + Second patrol + Echo,Reopen delivery passage
112,4 of 4,38,38,3,46850,Patrol + Second patrol + Echo,Reopen delivery passage
113,4 of 4,36,36,3,47625,Patrol + Second patrol + Echo,Reopen delivery passage
114,4 of 4,32,32,3,48425,Patrol + Second patrol + Echo,Reopen delivery passage
115,4 of 4,34,34,3,49200,Patrol + Second patrol + Echo,Reopen delivery passage
